"id","user_id","created","updated","category_id","deleted","demo_mode","index","price","select_as_default","status","title"
59840,423,1610874595,1719406250,81504,0,0,0,0.0,0,Active,The Rudimental
59841,423,1610874595,1719406250,81504,0,0,0,0.0,0,Active,The Classic
59844,423,1610875148,1719406250,81504,0,0,0,0.0,0,Active,The Rudimental
59845,423,1610875148,1719406250,81504,0,0,0,0.0,0,Active,The Garden
59848,423,1610875674,1719406250,81504,0,0,0,0.0,0,Active,Real Chili Mayo
59849,423,1610875674,1719406250,81504,0,0,0,0.0,0,Active,The Classic
59947,423,1611006315,1719406250,81505,0,0,0,240.0,0,Active,flaske
59992,423,1611177538,1719406250,81504,0,0,0,0.0,0,Active,"Burger Sauce(V,VG)"
59994,423,1611177538,1719406250,81504,0,0,0,0.0,0,Active,"Green Goddess Sauce(V,VG)"
59995,423,1611177538,1719406250,81504,0,0,0,15.0,0,Active,Gluten free bun
59996,423,1611177538,1719406250,81504,0,0,0,0.0,0,Active,"Real Chili Mayo(V,VG)"
60030,423,1611695959,1719406250,81504,0,0,0,15.0,0,Active,Gluten free bun
60032,423,1611695959,1719406250,81504,0,0,0,0.0,0,Active,Real Chili Mayo
60040,423,1611696695,1719406250,81504,0,0,0,0.0,0,Active,Green goddess sauce
60041,423,1611696695,1719406250,81504,0,0,0,0.0,0,Active,Real Chili Mayo
60461,423,1612696199,1719406250,81505,0,0,0,0.0,0,Active,Citron
60466,423,1612699091,1719406250,81505,0,0,0,0.0,0,Active,Chili
60468,423,1612699091,1719406250,81505,0,0,0,0.0,0,Active,Citron
60469,423,1612699328,1719406250,81505,0,0,0,46.0,0,Active,Rodfritter m. mayo + Superjuice
60470,423,1612699666,1719406250,81505,0,0,0,46.0,0,Active,Rodfritter m mayo + Superjuice
60471,423,1612700133,1719406250,81505,0,0,0,46.0,0,Active,Rodfritter m mayo + Superjuice
60473,423,1612700133,1719406250,81505,0,0,0,0.0,0,Active,Citron
60474,423,1612700133,1723528381,81505,0,0,0,0.0,0,Active,Chili
60709,436,1613063659,1719406250,81504,0,0,0,60.0,0,Active,"Smokey BBQ Tofu (V,VG)"
60710,436,1613063659,1719406250,81504,0,0,0,35.0,0,Active,"Seasoned Fries (V,VG)"
60711,436,1613063659,1719406250,81504,0,0,0,20.0,0,Active,"Green Goddess Sauce (V,VG)"
60712,436,1613063659,1719406250,81504,0,0,0,40.0,0,Active,"Fresh Slaw with Mint& Mango (V,VG)"
60713,436,1613063659,1719406250,81504,0,0,0,20.0,0,Active,"Real Chilli Mayo(V,VG)"
60714,436,1613063660,1719406250,81504,0,0,0,20.0,0,Active,"Burger Sauce(V,VG)"
60715,436,1613063660,1719406250,81504,0,0,0,55.0,0,Active,"Raspberry Mousse (V,VG)"
60716,436,1613063661,1719406250,81504,0,0,0,55.0,0,Active,"Mango Lassi (V,VG)"
60717,436,1613063661,1719406250,81504,0,0,0,60.0,0,Active,"Matcha Cheesecake (V,VG)"
60718,436,1613063661,1719406250,81504,0,0,0,60.0,0,Active,"Coconut Cheesecake(V,VG)"
60719,436,1613063661,1719406250,81504,0,0,0,55.0,0,Active,"Chocolate Shake (V,VG)"
60720,436,1613063661,1719406250,81504,0,0,0,65.0,0,Active,"Chocolate&Vanilla Cheesecake(V,VG)"
60721,436,1613063661,1719406250,81504,0,0,0,55.0,0,Active,"Chocolate Orange Mousse(V,VG)"
60722,436,1613063662,1719406232,81504,0,0,0,35.0,0,Active,"Raspberry Lemonade (V,VG)"
60723,436,1613063662,1719406250,81504,0,0,0,35.0,0,Active,"Lemon Ginger & Thyme (V,VG)"
60724,436,1613063662,1719406250,81504,0,0,0,25.0,0,Active,Coca Cola
60725,436,1613063662,1719406250,81504,0,0,0,25.0,0,Active,Coca Cola Zero
